

# Examples
```yaml
game:
  dialogues:
  - order: dialogue order
    speaker: speaker name
    text: dialogue or narration
  - order: dialogue order
    speaker: speaker name
    text: dialogue or narration
```

# Hints
- The output should be in YAML format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be in a dialogue format
- The output should be in a narration format
- The output should be
