

### Example
```yaml
game:
  dialogues:
  - order: dialogue order
    speaker: speaker name
    text: dialogue or narration
```

### Rules
- [ ] Generate a dialogue in YAML format.
- [ ] Return only the YAML in the Markdown code block.
- [ ] Do not include any HTML or Markdown in the YAML.
- [ ] Use the format above.
- [ ] Do not include any comments in the YAML.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must be in the format above.
- [ ] The dialogue must
