

## Examples
```yaml
game:
  character:
    age: 20
    background: "Adopted"
    first_name: "Sam"
    id: 1234567890
    last_name: "Sullivan"
    physical_appearance:
    - eye_color: "blue"
      hair_color: "black"
      height: 1.75
      weight: 150
    place_of_birth: "New York"
    role: "Hero"
    species: "Human"
```

```yaml
game:
  character:
    age: 20
    background: "Adopted"
    first_name: "Sam"
    id: 1234567890
    last_name: "Sullivan"
    physical_appearance:
    - eye_color: "blue"
      hair_color: "black"
      height: 1.75
      weight: 150
    place_of_birth: "New York"
    role: "Hero"
    species: "Human"
```

## Requirements
* No more than 100 lines of code.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
* Use Markdown code blocks to return YAML.
