

## Input format
```
game title
game synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
game story synopsis
