

### Examples

```xml
<?xml version="1.0"?>
<game>
	<enemy>
		<id>id</id>
		<name>name</name>
		<description>description</description>
		<stats>
			<hp>hp int value</hp>
			<mp>mp int value</mp>
			<atk>atk int value</atk>
			<def>def int value</def>
			<spd>spd int value</spd>
		</stats>
	</enemy>
</game>
```

```xml
<?xml version="1.0"?>
<game>
	<enemy>
		<id>id</id>
		<name>name</name>
		<description>description</description>
		<stats>
			<hp>hp int value</hp>
			<mp>mp int value</mp>
			<atk>atk int value</atk>
			<def>def int value</def>
			<spd>spd int value</spd>
		</stats>
	</enemy>
</game>
```

### Input

```xml
<?xml version="1.0"?>
<game>
	<enemy>
		<id>id</id>
		<name>name</name>
		<description>description</description>
		<stats>
			<hp>hp int value</hp>
			<mp>mp int value</mp>
			<atk>atk int value</atk>
			<def>def int value</def>
			<spd>spd int value</spd>
		</stats>
	</enemy>
</game>
```

### Restrictions

- **No spaces between the tags**
- **No spaces between the attributes**
- **No spaces between the values**
- **No spaces between the attributes and values**
- **No spaces between the values and the equal sign**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **No spaces between the closing bracket and the closing bracket**
- **
