

### Input format

The input is in the form of a list of dialogues. Each dialogue is a list of lines.

A dialogue is a list of lines.
Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list of letters.

Each letter is a list of symbols.

Each symbol is a list
